user,item,score,context,value
11,6,2,a,0.924
7,1,1,c,0.967
3,1,3,d,0.519
18,3,3,b,0.883
11,2,4,b,0.326
9,5,3,c,0.742
19,10,2,a,0.258
10,8,2,b,0.781
3,9,4,b,0.671
9,9,5,d,0.158
8,4,4,c,0.018
8,9,5,a,0.872
16,3,2,a,0.827
19,3,5,c,0.848
13,6,5,c,0.804
14,9,5,d,0.624
4,6,2,b,0.789
12,8,4,d,0.783
3,2,2,a,0.821
15,6,5,b,0.822
12,6,4,a,0.452
7,4,3,c,0.226
2,4,2,c,0.520
9,2,1,c,0.686
4,1,1,a,0.628
13,8,5,d,0.553
17,10,3,d,0.828
4,10,1,c,0.234
16,3,1,c,0.800
9,3,5,a,0.637
10,9,1,a,0.082
18,2,4,d,0.113
4,2,3,d,0.294
7,7,1,b,0.717
4,6,5,a,0.538
12,3,5,b,0.130
13,8,2,c,0.485
1,9,5,d,0.421
7,9,4,a,0.885
1,5,1,a,0.916
14,2,5,d,0.327
17,8,3,d,0.413
3,3,3,b,0.672
2,4,5,b,0.042
4,6,5,b,0.134
8,10,4,b,0.142
12,8,5,c,0.319
12,10,3,d,0.476
15,5,5,d,0.135
17,5,3,c,0.843
6,4,4,a,0.960
2,5,1,c,0.415
4,1,2,b,0.080
3,4,1,d,0.859
7,2,1,c,0.659
10,3,3,c,0.740
13,3,4,a,0.212
7,4,5,d,0.029
1,5,4,b,0.564
5,1,4,b,0.289
3,7,1,a,0.101
11,10,3,a,0.932
18,7,1,a,0.021
19,1,2,d,0.688
8,6,2,c,0.602
6,4,1,a,0.625
15,5,1,c,0.922
9,2,5,b,0.080
20,6,2,c,0.282
15,6,3,a,0.040
19,9,4,a,0.361
17,7,4,a,0.348
18,10,2,a,0.367
16,2,4,c,0.604
2,9,1,b,0.974
18,5,2,d,0.105
16,2,1,d,0.397
19,9,3,a,0.852
4,3,4,b,0.098
12,1,5,a,0.925
20,8,1,a,0.337
19,10,4,d,0.161
1,10,5,b,0.132
1,2,4,b,0.144
9,8,1,d,0.297
20,1,4,c,0.254
17,1,5,a,0.884
18,2,2,c,0.382
3,7,3,d,0.432
20,7,3,a,0.266
8,7,3,b,0.626
18,3,1,b,0.300
7,9,4,a,0.807
5,10,2,a,0.360
16,4,3,d,0.560
2,10,4,c,0.740
11,5,1,d,0.542
14,8,2,b,0.903
18,8,3,a,0.875
13,9,2,c,0.312
13,10,4,d,0.624
13,5,3,a,0.503
8,4,2,b,0.040
11,8,4,c,0.125
6,1,3,d,0.702
3,5,2,a,0.720
12,10,1,b,0.880
18,7,4,c,0.253
8,4,1,b,0.208
10,3,2,b,0.144
13,6,4,d,0.804
4,3,2,d,0.252
7,6,1,c,0.026
13,10,2,b,0.544
5,7,3,b,0.413
1,8,2,a,0.686
2,10,3,b,0.190
19,9,4,a,0.059
17,6,3,c,0.614
5,9,1,a,0.330
7,9,5,c,0.443
4,4,4,b,0.042
19,10,3,c,0.606
18,5,2,b,0.875
7,1,2,b,0.934
11,7,2,a,0.738
1,7,5,d,0.854
7,1,1,a,0.151
9,7,4,c,0.624
4,3,2,a,0.887
2,4,4,a,0.504
6,2,4,c,0.479
7,6,4,c,0.895
3,10,5,a,0.957
6,2,1,a,0.958
2,1,1,b,0.625
7,6,5,a,0.379
18,2,2,a,0.701
6,10,2,b,0.077
16,1,5,b,0.472
19,2,4,d,0.330
14,7,1,b,0.187
2,5,1,d,0.345
15,6,2,b,0.677
2,10,3,c,0.629
16,4,2,a,0.610
4,2,4,c,0.855
9,9,1,d,0.979
14,1,1,a,0.222
19,7,1,d,0.838
3,6,5,a,0.664
9,6,5,c,0.885
4,4,3,d,0.165
9,10,1,d,0.864
16,7,4,c,0.299
3,1,2,d,0.967
18,9,2,c,0.843
2,7,4,b,0.950
6,4,3,b,0.213
12,4,5,b,0.095
10,7,1,b,0.959
19,1,5,d,0.627
20,10,1,c,0.236
14,10,5,d,0.829
9,4,5,c,0.097
9,5,4,d,0.338
3,1,4,b,0.905
1,9,2,b,0.176
4,1,3,a,0.717
19,10,1,b,0.086
13,5,5,c,0.320
6,8,1,d,0.324
8,8,1,d,0.693
10,8,4,c,0.325
10,2,5,d,0.646
2,5,5,c,0.622
6,2,3,b,0.135
4,3,4,a,0.810
19,5,1,c,0.413
18,8,4,d,0.236
7,9,1,c,0.287
1,2,5,c,0.722
12,5,1,b,0.956
10,3,5,a,0.494
11,2,3,c,0.271
4,1,4,b,0.658
15,5,5,a,0.155
16,8,3,b,0.400
16,5,4,a,0.564
3,1,1,a,0.621
2,9,3,c,0.234
18,3,3,c,0.172
8,2,3,b,0.146
18,7,5,c,0.564
15,1,2,d,0.910
12,4,1,d,0.372
12,1,2,c,0.190
9,10,3,c,0.284
2,5,1,a,0.496
7,8,1,d,0.384
15,3,3,c,0.841
9,3,4,d,0.882
15,2,2,b,0.712
5,10,4,d,0.549
9,10,3,c,0.630
13,7,1,d,0.027
12,2,3,d,0.216
10,2,3,a,0.898
8,10,5,b,0.502
8,9,1,a,0.050
15,3,5,a,0.543
13,7,4,c,0.228
15,7,2,c,0.475
11,6,1,c,0.252
14,4,2,b,0.069
20,7,4,d,0.816
8,8,4,a,0.382
18,1,2,b,0.702
20,8,4,b,0.301
16,3,5,d,0.988
9,4,4,d,0.810
15,10,5,c,0.650
3,2,3,c,0.710
10,6,4,b,0.884
11,6,4,c,0.594
12,1,4,b,0.852
15,1,5,d,0.823
14,6,3,b,0.091
12,8,3,d,0.545
12,3,2,b,0.340
1,1,4,d,0.856
7,1,4,c,0.292
9,8,1,c,0.434
17,7,2,b,0.695
7,9,5,b,0.553
4,10,5,d,0.468
6,5,5,b,0.924
7,7,4,b,0.098
18,7,5,d,0.125
17,5,1,c,0.729
1,6,4,a,0.129
8,9,5,b,0.870
6,4,5,d,0.628
7,1,5,c,0.425
13,6,4,a,0.488
10,9,2,d,0.258
13,2,1,c,0.688
17,10,4,c,0.311
2,8,4,d,0.309
6,1,3,a,0.175
18,5,3,d,0.869
11,5,1,c,0.190
1,9,4,d,0.619
17,9,4,a,0.919
9,1,5,d,0.210
9,10,3,c,0.973
1,5,2,c,0.675
12,5,2,c,0.158
9,1,3,a,0.083
19,6,5,d,0.495
2,8,1,a,0.394
19,10,4,d,0.077
11,9,5,b,0.529
5,3,2,d,0.335
13,2,1,d,0.719
9,2,5,c,0.165
4,2,5,d,0.665
16,4,3,b,0.518
19,1,4,b,0.911
13,5,4,b,0.537
15,2,5,c,0.545
13,3,3,d,0.397
15,3,3,c,0.842
20,8,2,a,0.392
4,5,4,c,0.375
11,3,5,d,0.488
4,7,3,b,0.558
16,1,2,b,0.468
17,9,5,b,0.564
7,5,1,c,0.730
16,2,4,b,0.680
3,1,4,d,0.678
4,5,5,d,0.433
2,7,4,b,0.942
18,6,2,b,0.277
4,1,2,d,0.296
5,4,3,a,0.316
16,6,5,d,0.590
12,8,1,a,0.049
5,1,4,a,0.589
11,9,5,a,0.937
6,5,5,d,0.314
6,6,1,b,0.277
8,1,3,a,0.218
14,6,4,a,0.398
4,3,1,a,0.586
11,10,2,d,0.534
10,9,5,d,0.764
9,7,1,d,0.022
19,4,2,c,0.090
18,6,2,a,0.736
1,3,4,d,0.296
12,8,4,d,0.335
12,6,4,a,0.567
16,10,4,a,0.236
1,8,1,a,0.901
2,10,4,b,0.781
15,3,2,a,0.866
11,9,3,c,0.807
13,7,4,a,0.213
6,9,5,c,0.313
3,2,5,d,0.149
4,7,4,c,0.715
10,4,2,b,0.032
14,5,2,b,0.651
9,10,2,b,0.736
18,1,2,c,0.118
8,3,5,a,0.898
8,10,4,c,0.172
2,8,2,a,0.162
6,3,4,a,0.347
5,5,4,a,0.343
16,3,1,d,0.312
17,7,2,a,0.183
4,3,5,b,0.422
9,3,1,b,0.547
10,1,1,a,0.576
20,2,1,d,0.448
4,9,4,a,0.960
14,3,4,d,0.911
13,10,4,a,0.496
6,8,1,c,0.401
16,10,2,b,0.199
17,8,2,c,0.085
15,3,4,b,0.216
3,4,4,d,0.088
7,5,5,d,0.109
14,1,1,d,0.311
5,3,4,d,0.213
16,4,5,a,0.572
6,1,1,a,0.597
1,9,2,c,0.335
12,7,4,b,0.820
6,4,5,c,0.927
16,3,5,d,0.660
9,3,1,c,0.565
8,1,1,b,0.052
2,7,2,c,0.084
6,2,5,a,0.180
13,2,1,c,0.666
13,1,1,d,0.619
16,6,1,c,0.857
13,4,4,d,0.018
17,8,4,c,0.687
9,10,4,b,0.614
5,10,3,c,0.842
10,2,5,b,0.453
14,10,5,b,0.825
10,9,5,c,0.799
4,8,1,a,0.032
3,1,4,b,0.360
8,3,4,d,0.449
15,1,5,b,0.877
18,2,2,c,0.042
17,8,5,d,0.401
1,9,5,a,0.912
18,10,4,c,0.022
1,7,4,b,0.611
5,6,1,d,0.551
14,6,4,d,0.912
17,7,2,d,0.596
20,7,1,b,0.359
17,4,3,c,0.185
19,4,4,b,0.518
14,7,4,a,0.065
3,9,3,d,0.189
9,10,1,d,0.600
9,2,2,c,0.831
2,4,5,c,0.881
6,4,3,b,0.787
5,4,5,b,0.016
16,8,3,c,0.938
9,2,3,b,0.322
3,6,1,a,0.627
20,2,5,b,0.850
14,2,2,a,0.647
10,8,2,d,0.446
4,1,4,a,0.908
3,3,5,b,0.152
1,3,3,a,0.213
10,5,3,c,0.201
9,4,5,d,0.178
4,1,5,c,0.066
7,9,5,b,0.493
6,5,2,a,0.081
19,6,1,b,0.175
12,4,4,d,0.647
7,10,3,b,0.038
18,5,4,c,0.746
14,8,2,c,0.538
15,8,2,a,0.883
12,6,5,c,0.084
4,6,4,c,0.386
16,7,5,d,0.172
3,7,2,c,0.048
9,4,4,d,0.540
15,10,5,a,0.373
4,4,2,d,0.375
2,6,3,c,0.091
9,7,2,a,0.201
5,6,4,d,0.881
18,6,4,c,0.654
5,1,1,b,0.439
10,10,5,c,0.307
10,3,1,d,0.097
20,6,2,d,0.161
7,5,5,d,0.077
19,4,1,b,0.843
5,3,3,a,0.398
13,7,3,c,0.474
12,1,2,d,0.540
19,2,5,d,0.646
6,3,1,d,0.721
16,10,5,a,0.832
5,3,3,a,0.305
19,7,5,b,0.374
1,4,1,d,0.630
20,10,1,b,0.896
4,8,1,c,0.384
14,1,3,a,0.969
6,3,4,d,0.159
13,10,1,d,0.805
2,5,2,b,0.580
1,5,4,c,0.373
1,7,1,c,0.200
1,4,1,b,0.894
7,9,2,c,0.780
3,6,1,d,0.170
15,3,4,d,0.919
6,4,3,a,0.060
11,1,4,b,0.719
12,7,4,a,0.673
9,8,2,a,0.095
12,6,5,b,0.647
19,5,1,a,0.113
2,2,5,d,0.404
18,6,2,a,0.774
5,6,1,d,0.414
12,9,5,a,0.117
11,6,5,a,0.670
19,7,2,b,0.376
17,9,1,d,0.143
7,10,2,a,0.335
11,6,5,b,0.610
17,4,4,c,0.485
7,10,5,c,0.187
7,1,5,d,0.789
6,6,2,a,0.417
10,7,2,d,0.189
5,10,1,d,0.955
20,4,3,c,0.717
1,3,4,a,0.820
17,4,1,c,0.321
13,2,2,a,0.260
14,1,4,b,0.799
15,5,4,a,0.523
3,4,4,d,0.490
5,10,5,c,0.686
11,5,2,b,0.379
6,9,1,c,0.036
13,8,3,c,0.874
10,9,4,d,0.254
20,4,2,a,0.886
13,2,3,a,0.181
13,7,5,c,0.069
13,7,4,b,0.629
3,7,5,c,0.578
8,3,1,b,0.325
20,1,2,d,0.291
18,3,1,b,0.052
17,2,4,c,0.831
9,2,5,d,0.641
9,3,2,c,0.266
2,3,4,c,0.747
3,1,3,a,0.825
13,7,4,c,0.395
5,4,4,a,0.208
9,2,2,a,0.708
5,5,1,b,0.575
11,2,1,b,0.602
9,10,5,c,0.159
13,1,3,d,0.471
16,1,1,c,0.297
8,9,1,b,0.610
18,6,3,b,0.772
9,6,5,b,0.886
3,8,1,d,0.647
4,3,4,d,0.190
5,4,4,a,0.353
13,1,3,b,0.656
13,1,3,b,0.680
18,8,2,c,0.511
18,4,5,c,0.866
7,4,4,a,0.708
15,10,4,c,0.778
3,7,3,a,0.190
17,9,5,a,0.747
12,2,2,c,0.858
16,7,3,a,0.673
15,4,5,a,0.258
5,10,5,d,0.058
20,7,4,b,0.716
18,4,1,a,0.290
16,5,4,b,0.320
16,2,1,a,0.319
13,7,3,d,0.162
10,9,2,b,0.951
4,6,5,c,0.711
20,6,1,c,0.963
6,8,2,d,0.854
10,1,3,b,0.543
5,8,5,a,0.052
15,9,5,b,0.615
8,2,2,a,0.578
4,1,1,b,0.192
14,2,5,c,0.962
16,8,4,c,0.081
4,5,4,d,0.657
16,4,2,d,0.778
12,3,1,c,0.194
8,6,1,d,0.464
16,1,5,b,0.621
10,8,5,b,0.316
19,7,4,d,0.101
1,7,4,d,0.668
9,10,4,c,0.267
8,6,2,c,0.952
13,6,3,d,0.183
6,7,2,d,0.534
20,4,2,d,0.689
15,4,1,d,0.736
20,10,4,b,0.051
6,5,3,d,0.946
1,3,3,d,0.326
6,7,4,b,0.775
17,4,4,b,0.110
17,10,3,d,0.934
3,10,4,c,0.196
10,3,3,c,0.470
9,8,5,d,0.820
14,2,1,d,0.968
3,1,5,a,0.445
11,7,4,d,0.114
1,3,1,c,0.657
3,3,5,d,0.623
5,4,4,c,0.046
5,1,2,d,0.473
15,10,5,d,0.544
18,9,1,a,0.118
12,1,3,b,0.559
17,10,5,b,0.344
20,7,4,c,0.283
15,3,3,d,0.196
9,1,3,b,0.503
16,9,4,c,0.375
8,9,2,a,0.385
7,8,1,c,0.730
11,3,2,a,0.055
19,2,4,b,0.048
2,2,3,b,0.371
13,3,5,a,0.099
9,9,2,d,0.018
4,6,3,b,0.063
16,6,3,d,0.535
2,5,2,a,0.976
17,8,3,d,0.274
5,7,5,d,0.911
12,4,4,c,0.083
18,7,1,b,0.309
8,1,4,c,0.057
11,8,5,c,0.671
15,6,5,c,0.569
14,3,1,a,0.588
6,1,5,b,0.789
1,8,4,b,0.341
11,8,4,d,0.019
11,4,5,c,0.831
8,5,1,a,0.614
19,8,5,a,0.419
5,8,4,b,0.927
14,9,5,c,0.791
20,4,2,d,0.655
17,9,5,c,0.980
4,1,5,a,0.511
2,8,1,b,0.825
19,4,4,b,0.527
13,1,3,b,0.203
20,10,4,c,0.899
10,7,1,c,0.803
17,5,1,d,0.061
11,10,2,d,0.619
1,5,2,a,0.354
7,8,4,b,0.869
13,3,2,c,0.071
20,10,4,d,0.672
4,5,4,b,0.452
7,7,3,a,0.056
5,8,1,d,0.358
16,2,2,d,0.173
15,6,2,a,0.644
1,4,5,d,0.761
19,5,3,c,0.848
9,1,1,a,0.302
7,9,3,a,0.844
2,10,1,b,0.939
4,4,5,a,0.467
12,8,1,a,0.320
1,10,5,a,0.138
11,5,2,b,0.826
5,4,5,c,0.923
11,1,5,d,0.257
4,1,3,c,0.658
12,3,4,c,0.949
4,9,2,d,0.820
8,5,4,d,0.049
16,4,3,d,0.742
13,4,2,b,0.251
18,5,2,a,0.072
16,9,4,b,0.361
19,2,1,b,0.570
4,5,3,c,0.730
8,9,2,a,0.344
15,8,5,b,0.569
10,7,5,a,0.571
11,3,2,c,0.110
3,8,2,b,0.098
9,4,5,d,0.491
4,7,5,a,0.318
4,10,1,d,0.139
5,7,1,b,0.504
3,2,5,a,0.379
16,7,4,c,0.851
9,7,3,a,0.803
8,5,3,d,0.073
4,8,1,d,0.618
6,6,5,a,0.014
5,9,3,c,0.214
2,10,2,b,0.437
10,7,2,d,0.375
2,5,3,d,0.047
1,3,3,d,0.387
5,2,1,b,0.517
11,4,2,a,0.748
7,10,1,a,0.732
17,8,2,b,0.837
20,4,3,c,0.026
14,8,2,c,0.611
4,7,5,a,0.415
10,4,5,d,0.585
17,7,5,c,0.881
12,5,1,b,0.534
1,1,2,b,0.110
2,10,3,a,0.262
17,2,1,a,0.802
20,2,4,d,0.462
16,3,4,b,0.669
13,10,3,d,0.296
11,5,4,d,0.170
17,8,5,c,0.082
4,3,3,c,0.556
17,7,1,c,0.936
20,5,4,b,0.320
17,10,2,a,0.183
19,6,5,d,0.290
12,7,2,c,0.802
17,7,4,a,0.838
14,8,1,a,0.680
18,4,1,b,0.901
1,2,2,c,0.432
19,6,3,d,0.409
11,3,5,c,0.371
20,3,2,b,0.839
8,5,3,b,0.323
15,8,4,a,0.948
12,8,1,d,0.337
6,8,2,a,0.839
18,7,5,b,0.178
8,10,4,b,0.144
3,1,1,a,0.104
14,8,2,b,0.290
19,3,3,b,0.064
12,8,5,d,0.672
12,3,4,c,0.608
10,4,3,c,0.134
8,3,1,d,0.723
9,10,4,b,0.120
19,2,3,c,0.065
9,3,4,b,0.489
7,9,5,d,0.101
18,2,1,d,0.090
5,7,5,d,0.772
12,1,3,d,0.091
3,3,5,b,0.422
20,7,3,b,0.599
5,7,5,b,0.358
17,7,1,c,0.084
8,7,4,d,0.254
9,9,2,d,0.640
8,9,3,d,0.054
16,8,5,b,0.707
3,2,1,d,0.587
3,7,4,b,0.688
20,9,5,b,0.042
6,4,1,b,0.935
19,4,3,c,0.143
10,10,5,c,0.699
2,5,1,a,0.564
6,5,5,b,0.767
2,4,3,b,0.951
3,2,2,b,0.673
2,4,2,a,0.246
7,2,1,b,0.803
16,3,3,d,0.400
11,9,1,a,0.138
15,5,4,b,0.805
8,5,2,a,0.318
3,7,3,d,0.658
12,10,1,a,0.765
19,3,1,c,0.188
2,8,5,c,0.190
17,8,4,c,0.044
15,6,5,d,0.146
13,9,3,a,0.788
8,7,1,c,0.697
12,10,4,c,0.291
3,8,3,b,0.470
17,7,1,b,0.093
13,6,4,a,0.606
17,4,4,d,0.144
11,9,5,b,0.767
11,3,4,d,0.533
4,7,3,a,0.354
10,7,4,a,0.942
1,8,1,d,0.385
2,4,1,c,0.461
8,4,2,b,0.073
19,4,4,b,0.116
12,5,1,d,0.019
19,8,3,b,0.475
18,3,2,a,0.661
2,6,4,a,0.953
6,10,4,b,0.601
1,6,5,a,0.920
8,7,1,a,0.604
15,9,5,c,0.049
20,4,3,b,0.876
1,3,3,b,0.152
16,7,2,d,0.375
2,10,4,b,0.572
4,10,2,a,0.401
16,9,1,a,0.612
12,10,5,b,0.247
8,6,2,c,0.421
13,2,1,d,0.420
17,1,2,a,0.392
5,10,2,c,0.040
11,6,3,b,0.145
18,4,4,b,0.855
11,2,4,c,0.533
13,8,4,d,0.778
2,1,3,a,0.068
15,4,4,c,0.230
1,3,4,a,0.813
10,9,4,c,0.789
14,7,2,b,0.611
14,3,1,d,0.982
3,6,3,d,0.039
4,4,1,c,0.494
4,3,5,c,0.534
5,9,3,c,0.970
10,4,1,d,0.601
10,2,1,d,0.562
19,10,4,d,0.595
14,3,3,b,0.222
1,6,1,c,0.120
18,6,3,a,0.139
10,9,2,b,0.424
15,10,4,b,0.635
1,2,5,a,0.253
20,10,4,b,0.579
20,6,2,a,0.850
4,10,3,d,0.977
16,9,2,c,0.659
18,9,4,c,0.871
9,10,1,d,0.511
18,10,5,b,0.322
6,9,4,a,0.244
9,9,1,a,0.919
19,9,2,c,0.740
3,5,4,a,0.528
12,7,5,c,0.164
14,8,3,a,0.945
4,5,4,d,0.572
6,5,3,b,0.638
18,9,3,b,0.468
5,2,4,d,0.973
2,3,2,c,0.939
18,10,3,d,0.616
8,1,3,c,0.316
8,8,4,a,0.075
19,8,5,a,0.892
5,4,3,b,0.946
9,2,1,d,0.654
4,9,4,c,0.682
10,7,4,b,0.415
10,5,2,b,0.572
3,1,4,d,0.573
7,2,3,a,0.723
15,2,5,b,0.824
17,5,4,c,0.574
4,10,3,b,0.931
8,8,4,c,0.318
4,6,4,a,0.683
6,8,2,d,0.320
10,5,3,d,0.621
20,3,1,c,0.044
1,3,1,d,0.016
15,6,4,b,0.609
9,5,4,a,0.223
7,8,5,d,0.341
2,3,2,d,0.688
6,7,1,c,0.016
18,3,4,d,0.427
6,2,5,c,0.660
20,8,3,b,0.643
8,4,2,b,0.622
11,3,3,d,0.695
1,5,5,d,0.931
9,5,2,d,0.286
3,8,5,d,0.846
2,5,2,d,0.923
15,6,5,d,0.560
9,4,3,c,0.937
1,1,1,d,0.980
12,7,5,d,0.712
13,5,2,d,0.389
12,1,3,a,0.274
18,7,2,c,0.267
18,10,2,d,0.069
7,10,5,b,0.066
2,3,1,c,0.470
10,2,4,d,0.073
13,8,1,d,0.100
6,4,2,b,0.945
7,8,4,a,0.221
18,6,1,c,0.790
8,7,3,c,0.426
16,9,5,a,0.360
17,1,4,d,0.456
9,8,1,a,0.544
1,8,5,c,0.797
13,6,3,a,0.288
5,4,3,d,0.666
2,9,2,a,0.064
12,2,1,a,0.321
19,4,2,d,0.104
3,7,1,c,0.982
5,1,2,b,0.568
20,7,3,b,0.267
20,9,3,c,0.411
4,8,4,b,0.432
1,10,1,d,0.739
5,6,5,c,0.185
4,2,5,c,0.772
4,10,5,d,0.462
9,5,4,d,0.272
10,4,1,d,0.332
14,9,2,a,0.892
11,9,1,a,0.385
5,6,2,c,0.056
2,5,5,c,0.149
5,8,3,c,0.979
5,5,2,b,0.836
19,3,4,d,0.058
16,8,5,d,0.073
18,8,1,d,0.439
15,2,5,b,0.249
7,9,4,d,0.606
20,5,3,b,0.564
11,8,2,d,0.306
20,7,1,a,0.079
13,2,3,b,0.674
3,10,1,a,0.738
16,7,2,c,0.125
2,9,4,b,0.259
2,7,5,b,0.781
11,9,5,d,0.828
3,1,5,c,0.657
13,5,4,d,0.398
7,4,2,d,0.893
10,7,3,d,0.489
15,6,4,a,0.357
20,8,2,b,0.078
19,3,2,a,0.963
13,5,1,a,0.406
20,9,3,a,0.669
3,9,1,d,0.036
19,10,2,d,0.506
7,3,2,d,0.452
1,5,5,d,0.920
3,10,4,b,0.591
20,6,5,b,0.247
10,3,4,a,0.506
8,8,5,b,0.829
14,10,5,b,0.252
1,7,2,c,0.461
16,6,4,b,0.186
9,1,4,b,0.800
13,2,5,a,0.173
10,8,2,c,0.817
3,4,1,a,0.881
10,9,3,b,0.444
14,8,1,a,0.739
13,6,5,d,0.932
1,2,3,c,0.734
3,4,5,a,0.154
18,6,1,d,0.122
6,5,3,b,0.709
7,3,3,b,0.273
19,6,1,c,0.084
10,8,1,a,0.550
5,4,3,b,0.698
13,1,4,d,0.440
14,5,3,b,0.800
9,3,3,a,0.390
17,9,1,b,0.253
14,9,5,c,0.936
9,6,1,c,0.176
18,5,2,b,0.090
2,10,5,d,0.842
19,5,5,c,0.946
12,10,1,a,0.228
9,9,1,c,0.337
13,9,5,d,0.356
10,8,2,b,0.938
18,5,2,a,0.615
5,7,1,c,0.571
3,5,5,a,0.980
18,4,3,d,0.714
10,2,5,c,0.613
18,5,2,d,0.180
8,2,4,d,0.140
1,4,5,c,0.658
17,8,2,c,0.019
4,1,3,a,0.053
9,4,1,b,0.896
10,6,3,a,0.379
5,7,1,d,0.401
12,5,3,c,0.500
8,5,3,d,0.232
11,5,4,d,0.695
1,8,2,b,0.674
13,6,1,d,0.507
20,6,1,b,0.753
14,8,2,c,0.684
13,4,5,b,0.624
2,6,2,b,0.902
19,8,3,a,0.728
13,1,1,c,0.222
14,6,1,c,0.073
5,3,1,d,0.432
3,8,3,b,0.191
9,1,2,d,0.816
5,8,4,a,0.798
10,2,2,c,0.252
9,6,2,a,0.780
17,5,1,a,0.407
8,1,4,a,0.886
18,6,2,a,0.320
6,6,3,a,0.763
2,6,4,c,0.277
17,10,4,a,0.874
10,5,4,a,0.049
1,7,3,a,0.604
15,4,1,b,0.079
14,5,1,c,0.237
13,9,5,c,0.735
5,3,5,d,0.456
3,4,1,c,0.090
9,4,5,d,0.822
7,5,5,a,0.034
20,4,3,a,0.900
18,5,1,c,0.125
15,8,1,c,0.449
4,8,2,a,0.591
17,3,4,c,0.525
13,5,5,b,0.823
5,1,4,c,0.657
6,3,5,b,0.184
13,10,2,d,0.797
15,10,3,d,0.806
9,7,5,d,0.454
12,8,4,a,0.314
15,6,2,d,0.864
12,10,2,d,0.145
2,9,1,d,0.934
2,5,1,b,0.460
9,1,1,a,0.117
13,2,4,c,0.225
19,9,2,c,0.645
2,8,5,d,0.203
18,4,4,c,0.339
17,7,2,a,0.129
9,3,3,d,0.718
1,7,1,b,0.722
5,6,3,c,0.228
6,3,3,c,0.532
15,1,4,c,0.213
7,9,5,b,0.780
20,1,4,b,0.578
11,2,2,c,0.401
20,4,5,c,0.989
13,9,5,b,0.505
7,2,4,b,0.614
10,9,3,a,0.449
1,3,3,a,0.846
7,10,1,a,0.936
10,2,2,b,0.558
8,4,4,d,0.729
2,4,5,c,0.338
3,6,4,b,0.815
7,7,1,d,0.457
6,7,1,d,0.488
15,7,2,b,0.584
17,7,4,b,0.119
2,4,1,c,0.810
19,10,5,d,0.187
20,1,4,c,0.279
6,10,1,b,0.752
5,5,1,a,0.121
17,4,2,d,0.830
16,5,1,a,0.936
14,10,3,a,0.711
16,4,1,d,0.442
16,9,2,a,0.388
18,3,4,c,0.817
15,8,5,a,0.825
5,9,1,c,0.946
8,5,4,a,0.271
13,9,2,a,0.319
13,6,2,c,0.283
15,8,5,a,0.063
6,8,4,c,0.485
5,2,3,d,0.980
7,6,3,b,0.762
8,8,3,c,0.343
3,6,3,d,0.058
7,9,2,a,0.376
3,2,2,c,0.694
2,10,2,c,0.405
5,9,1,c,0.950
3,6,5,d,0.675
12,6,1,d,0.086
2,6,4,d,0.256
